id,participant,exp_type_1:1,exp_type_2:1,TIME_start,TIME_end,TIME_total
1,s.0db2cb69-04bb-4fac-9d6c-cc3356c615b7.txt,visual_search_1.2020-04-18-1422.data.0db2cb69-04bb-4fac-9d6c-cc3356c615b7.txt,visual_search_2.2020-04-18-1426.data.0db2cb69-04bb-4fac-9d6c-cc3356c615b7.txt,2020-04-18-14-17,2020-04-18-14-26,9
2,s.17ec5da8-b998-43e2-a090-873a34eed1ae.txt,visual_search_1.2020-04-18-0805.data.17ec5da8-b998-43e2-a090-873a34eed1ae.txt,visual_search_2.2020-04-18-0809.data.17ec5da8-b998-43e2-a090-873a34eed1ae.txt,2020-04-18-08-00,2020-04-18-08-09,9
3,s.bec2b043-ae44-4aed-96d3-2c0549d8204c.txt,visual_search_1.2020-04-16-1815.data.bec2b043-ae44-4aed-96d3-2c0549d8204c.txt,visual_search_2.2020-04-16-1820.data.bec2b043-ae44-4aed-96d3-2c0549d8204c.txt,,2020-04-16-18-20,
4,s.ddb83c99-ec2d-43d7-beb5-8a0da9376dc3.txt,visual_search_1.2020-04-17-2002.data.ddb83c99-ec2d-43d7-beb5-8a0da9376dc3.txt,visual_search_2.2020-04-17-2006.data.ddb83c99-ec2d-43d7-beb5-8a0da9376dc3.txt,2020-04-17-19-57,2020-04-17-20-06,9
5,s.4f42ddd5-c594-4b7e-8392-2d847a9bd25e.txt,visual_search_1.2020-04-16-1915.data.4f42ddd5-c594-4b7e-8392-2d847a9bd25e.txt,visual_search_2.2020-04-16-1919.data.4f42ddd5-c594-4b7e-8392-2d847a9bd25e.txt,2020-04-16-19-10,2020-04-16-19-19,9
6,s.5fd8b001-179b-4147-8817-25995cbf262f.txt,visual_search_1.2020-04-17-1613.data.5fd8b001-179b-4147-8817-25995cbf262f.txt,visual_search_2.2020-04-17-1618.data.5fd8b001-179b-4147-8817-25995cbf262f.txt,2020-04-17-16-08,2020-04-17-16-18,10
7,s.20d089de-1861-43d3-8b0c-d90e57888a91.txt,visual_search_1.2020-04-16-1844.data.20d089de-1861-43d3-8b0c-d90e57888a91.txt,visual_search_2.2020-04-16-1849.data.20d089de-1861-43d3-8b0c-d90e57888a91.txt,2020-04-16-18-36,2020-04-16-18-49,13
8,s.4d7e81e9-db9d-4292-abde-2cb98b0c1f4a.txt,visual_search_1.2020-04-18-1734.data.4d7e81e9-db9d-4292-abde-2cb98b0c1f4a.txt,visual_search_2.2020-04-18-1934.data.4d7e81e9-db9d-4292-abde-2cb98b0c1f4a.txt,2020-04-18-17-29,2020-04-18-19-34,125
9,s.ab015b33-ce62-4afa-a540-a3ff25dcd6d0.txt,visual_search_1.2020-04-18-2132.data.ab015b33-ce62-4afa-a540-a3ff25dcd6d0.txt,visual_search_2.2020-04-18-2136.data.ab015b33-ce62-4afa-a540-a3ff25dcd6d0.txt,2020-04-18-21-26,2020-04-18-21-36,10
10,s.aaf361b7-7920-46e5-aaa6-fd6f2fc51671.txt,visual_search_1.2020-04-17-1510.data.aaf361b7-7920-46e5-aaa6-fd6f2fc51671.txt,visual_search_2.2020-04-17-1514.data.aaf361b7-7920-46e5-aaa6-fd6f2fc51671.txt,2020-04-17-15-05,2020-04-17-15-14,9
